"Dazzler","Dazzler"
"Dragonslayer","Dragonslayer"
"James Bond For Your Eyes Only","James Bond For Your Eyes Only"
"Ka-Zar the Savage","Ka-Zar the Savage"
"Raiders of the Lost Ark","Raiders of the Lost Ark"
"The Uncanny X-Men","The Uncanny X-Men"
"Annie","Annie"
"Blade Runner","Blade Runner"
"Conan the Barbarian Movie Special","Conan the Barbarian Movie Special"
"G.I. Joe: A Real American Hero","G.I. Joe: A Real American Hero"
"Hercules","Hercules"
"Marvel Fanfare","Marvel Fanfare"
"Marvel Graphic Novel","Marvel Graphic Novel"
"Marvel Movie Showcase","Marvel Movie Showcase"
"Marvel Super Hero Contest of Champions","Marvel Super Hero Contest of Champions"
"Rom Annual","Rom Annual"
"Smurfs","Smurfs"
"Team America","Team America"
"The Very Best of Dennis the Menace","The Very Best of Dennis the Menace"
"Vision and the Scarlet Witch","Vision and the Scarlet Witch"
"Wolverine","Wolverine"
"Alpha Flight","Alpha Flight"
"Blip","Blip"
"Cloak and Dagger","Cloak and Dagger"
"The Dark Crystal","The Dark Crystal"
"The Falcon","The Falcon"
"The Further Adventures of Indiana Jones","The Further Adventures of Indiana Jones"
"Hawkeye","Hawkeye"
"The Kree-Skrull War Starring the Avengers","The Kree-Skrull War Starring the Avengers"
"Krull","Krull"
"Magik (Storm and Illyana Limited Series)","Magik (Storm and Illyana Limited Series)"
"Moon Knight: The Special Edition","Moon Knight: The Special Edition"
"The New Mutants","The New Mutants"
"The Official Handbook of the Marvel Universe","The Official Handbook of the Marvel Universe"
"The Saga of Crystar, Crystal Warrior","The Saga of Crystar, Crystal Warrior"
"Star Wars: Return of the Jedi","Star Wars: Return of the Jedi"
"The Thing","The Thing"
"U.S. 1","U.S. 1"
"X-Men Classics Starring the X-Men","X-Men Classics Starring the X-Men"
"The A-Team","The A-Team"
"Amazing High Adventure","Amazing High Adventure"
"Beauty and the Beast","Beauty and the Beast"
"Buckaroo Banzai","Buckaroo Banzai"
"Captain America Special Edition","Captain America Special Edition"
"Conan the King","Conan the King"
"Doctor Strange Classics","Doctor Strange Classics"
"Doctor Who","Doctor Who"
"Elektra Saga","Elektra Saga"
"G.I. Joe Yearbook","G.I. Joe Yearbook"
"Iceman","Iceman"
"Indiana Jones and the Temple of Doom","Indiana Jones and the Temple of Doom"
"Jack of Hearts","Jack of Hearts"
"Kitty Pryde and Wolverine","Kitty Pryde and Wolverine"
"The Last Starfighter","The Last Starfighter"
"Marvel Super Heroes Secret Wars","Marvel Super Heroes Secret Wars"
"Micronauts: The New Voyages","Micronauts: The New Voyages"
"The New Mutants Annual","The New Mutants Annual"
"Power Pack","Power Pack"
"Prince Namor, the Sub-Mariner","Prince Namor, the Sub-Mariner"
"Questprobe","Questprobe"
"Sheena","Sheena"
"Starriors","Starriors"
"Tarzan of the Apes","Tarzan of the Apes"
"The Transformers","The Transformers"
